timestamp,customer_id,event_type,source_ip,device_id,location,authentication_method,result
2026-05-10 08:14:22,CUST-001,LOGIN,102.45.18.20,DEV-1001,Accra,MFA,SUCCESS
2026-05-10 18:42:10,CUST-001,LOGIN,102.45.18.20,DEV-1001,Accra,MFA,SUCCESS
2026-05-11 09:03:14,CUST-001,LOGIN,102.45.18.20,DEV-1001,Accra,MFA,SUCCESS


2026-08-20 09:14:22,CUST-002,LOGIN,184.96.96.229,DEV-1002,Kumasi,OTP,SUCCESS
2026-08-21 11:32:10,CUST-002,LOGIN,184.96.96.229,DEV-1002,Kumasi,OTP,SUCCESS
2026-08-21 14:13:14,CUST-002,LOGIN,184.96.96.229,DEV-1002,Kumasi,OTP,SUCCESS


2026-08-20 02:24:22,CUST-003,LOGIN,150.19.0.30,DEV-1003,Kumasi,PASSWORD,SUCCESS
2026-08-21 13:32:10,CUST-003,LOGIN,150.19.0.30,DEV-1003,Kumasi,PASSWORD,SUCCESS
2026-08-30 17:13:14,CUST-003,LOGIN,150.19.0.30,DEV-1003,Kumasi,PASSWORD,SUCCESS


2026-04-08 02:24:22,CUST-004,LOGIN,192.200.4.88,DEV-1004,Tamale,OTP,SUCCESS
2026-04-11 10:32:10,CUST-004,LOGIN,192.200.4.88,DEV-1004,Tamale,OTP,SUCCESS
2026-04-13 15:13:14,CUST-004,LOGIN,192.200.4.88,DEV-1004,Tamale,OTP,SUCCESS

2026-07-10 08:14:22,CUST-005,LOGIN,15.47.22.18,DEV-1005,Amasaman,PASSKEY,SUCCESS
2026-07-10 18:42:10,CUST-005,LOGIN,15.47.22.18,DEV-1005,Amasaman,PASSKEY,SUCCESS
2026-07-11 09:03:14,CUST-005,LOGIN,15.47.22.18,DEV-1005,Amasaman,PASSKEY,SUCCESS

2026-06-09 08:13:20,CUST-006,LOGIN,105.47.18.20,DEV-1006,Accra,Biometric,SUCCESS
2026-06-12 11:45:10,CUST-006,LOGIN,105.47.18.20,DEV-1006,Accra,Biometric,SUCCESS
2026-06-13 17:03:14,CUST-006,LOGIN,105.47.18.20,DEV-1006,Accra,Biometric,SUCCESS

2026-08-10 09:14:22,CUST-007,LOGIN,112.145.18.20,DEV-1007,Legon,MFA,SUCCESS
2026-08-10 11:42:10,CUST-007,LOGIN,112.145.18.20,DEV-1007,Legon,MFA,SUCCESS
2026-08-11 13:03:14,CUST-007,LOGIN,112.145.18.20,DEV-1007,Legon,MFA,SUCCESS

2026-06-05 08:14:22,CUST-008,LOGIN,200.19.19.8,DEV-1008,Achimota,PASSWORD,SUCCESS
2026-06-05 18:42:10,CUST-008,LOGIN,200.19.19.8,DEV-1008,Achimota,PASSWORD,SUCCESS
2026-06-07 09:03:14,CUST-008,LOGIN,200.19.19.8,DEV-1008,Achimota,PASSWORD,SUCCESS
