timestamp,transaction_id,customer_id,amount,currency,recipient,transaction_type,status,source_ip,device_id
2026-05-10 09:15:30,TX-1001,CUST-001,45.00,GHS,MERCHANT-021,PAYMENT,COMPLETED,102.45.18.20,DEV-1001
2026-05-10 13:42:18,TX-1002,CUST-001,85.50,GHS,MERCHANT-014,PAYMENT,COMPLETED,102.45.18.20,DEV-1001
2026-05-11 10:05:44,TX-1003,CUST-001,120.00,GHS,MERCHANT-031,BILL_PAYMENT,COMPLETED,102.45.18.20,DEV-1001

2026-08-20 10:15:30,TX-1004,CUST-002,85.50,GHS,MERCHANT-021,PAYMENT,COMPLETED,184.96.96.229,DEV-1002
2026-08-20 13:42:18,TX-1005,CUST-002,120.00,GHS,MERCHANT-014,PAYMENT,COMPLETED,184.96.96.229,DEV-1002
2026-08-21 12:05:44,TX-1006,CUST-002,45.00,GHS,MERCHANT-031,BILL_PAYMENT,COMPLETED,184.96.96.229,DEV-1002

2026-08-20 09:30:12,TX-1007,CUST-003,35.00,GHS,MERCHANT-008,PAYMENT,COMPLETED,150.19.0.30,DEV-1003
2026-08-21 14:10:25,TX-1008,CUST-003,75.00,GHS,MERCHANT-019,PAYMENT,COMPLETED,150.19.0.30,DEV-1003
2026-08-30 18:20:41,TX-1009,CUST-003,150.00,GHS,MERCHANT-027,BILL_PAYMENT,COMPLETED,150.19.0.30,DEV-1003

2026-04-08 08:45:16,TX-1010,CUST-004,60.00,GHS,MERCHANT-011,PAYMENT,COMPLETED,192.200.4.88,DEV-1004
2026-04-11 11:20:32,TX-1011,CUST-004,95.00,GHS,MERCHANT-023,PAYMENT,COMPLETED,192.200.4.88,DEV-1004
2026-04-13 16:02:08,TX-1012,CUST-004,40.00,GHS,MERCHANT-018,BILL_PAYMENT,COMPLETED,192.200.4.88,DEV-1004

2026-07-10 09:05:12,TX-1013,CUST-005,55.00,GHS,MERCHANT-006,PAYMENT,COMPLETED,15.47.22.18,DEV-1005
2026-07-10 19:10:45,TX-1014,CUST-005,110.00,GHS,MERCHANT-017,PAYMENT,COMPLETED,15.47.22.18,DEV-1005
2026-07-11 10:25:33,TX-1015,CUST-005,180.00,GHS,MERCHANT-029,BILL_PAYMENT,COMPLETED,15.47.22.18,DEV-1005

2026-06-09 09:20:14,TX-1016,CUST-006,70.00,GHS,MERCHANT-012,PAYMENT,COMPLETED,105.47.18.20,DEV-1006
2026-06-12 12:15:50,TX-1017,CUST-006,125.00,GHS,MERCHANT-024,PAYMENT,COMPLETED,105.47.18.20,DEV-1006
2026-06-13 17:30:26,TX-1018,CUST-006,50.00,GHS,MERCHANT-033,BILL_PAYMENT,COMPLETED,105.47.18.20,DEV-1006

2026-08-10 09:45:22,TX-1019,CUST-007,30.00,GHS,MERCHANT-004,PAYMENT,COMPLETED,112.145.18.20,DEV-1007
2026-08-10 12:15:40,TX-1020,CUST-007,90.00,GHS,MERCHANT-015,PAYMENT,COMPLETED,112.145.18.20,DEV-1007
2026-08-11 13:35:18,TX-1021,CUST-007,140.00,GHS,MERCHANT-026,BILL_PAYMENT,COMPLETED,112.145.18.20,DEV-1007

2026-06-05 09:05:30,TX-1022,CUST-008,40.00,GHS,MERCHANT-009,PAYMENT,COMPLETED,200.19.19.8,DEV-1008
2026-06-05 19:15:12,TX-1023,CUST-008,100.00,GHS,MERCHANT-020,PAYMENT,COMPLETED,200.19.19.8,DEV-1008
2026-06-07 09:40:45,TX-1024,CUST-008,65.00,GHS,MERCHANT-030,BILL_PAYMENT,COMPLETED,200.19.19.8,DEV-1008
